<name>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i>
Сбербанк,06/26/17,00:00,144.85,146.49,143.81,144.49,4618997,0
Сбербанк,06/27/17,00:00,144.05,147.20,143.40,147.10,5107085,0
Сбербанк,06/28/17,00:00,146.20,146.45,144.71,145.50,4597515,0
Сбербанк,06/29/17,00:00,146.51,146.83,143.20,143.80,4880678,0
Сбербанк,06/30/17,00:00,143.20,146.73,142.88,145.59,6721052,0
Сбербанк,07/03/17,00:00,146.65,148.30,146.22,147.50,3841091,0
Сбербанк,07/04/17,00:00,147.50,149.80,147.11,149.39,4016505,0
Сбербанк,07/05/17,00:00,149.39,149.79,147.89,148.96,4819126,0
Сбербанк,07/06/17,00:00,149.20,151.03,148.90,150.35,5156830,0
Сбербанк,07/07/17,00:00,149.65,152.50,149.06,152.16,5715037,0
Сбербанк,07/10/17,00:00,152.48,155.34,152.36,155.00,6362711,0
Сбербанк,07/11/17,00:00,155.55,157.00,154.95,156.91,5722443,0
Сбербанк,07/12/17,00:00,157.53,160.99,157.50,160.85,7042695,0
Сбербанк,07/13/17,00:00,161.46,162.62,158.34,159.94,7181867,0
Сбербанк,07/14/17,00:00,159.90,162.26,159.43,161.40,4359959,0
Сбербанк,07/17/17,00:00,161.80,163.10,159.82,161.98,4021771,0
Сбербанк,07/18/17,00:00,162.00,162.99,160.88,161.70,3647009,0
Сбербанк,07/19/17,00:00,161.30,164.34,160.53,164.34,5647442,0
Сбербанк,07/20/17,00:00,164.06,164.91,163.47,163.93,4194446,0
Сбербанк,07/21/17,00:00,163.99,163.99,161.72,162.10,3502291,0
Сбербанк,07/24/17,00:00,161.21,162.33,158.60,161.33,5749579,0
Сбербанк,07/25/17,00:00,161.66,162.30,159.92,160.22,4321070,0
Сбербанк,07/26/17,00:00,160.71,162.31,160.12,161.55,4261308,0
Сбербанк,07/27/17,00:00,162.41,166.00,162.40,166.00,5534635,0
Сбербанк,07/28/17,00:00,165.37,165.75,163.15,165.40,5013267,0
Сбербанк,07/31/17,00:00,165.53,167.35,163.88,164.53,5578152,0
Сбербанк,08/01/17,00:00,165.50,168.00,165.30,166.31,5535518,0
Сбербанк,08/02/17,00:00,166.60,169.94,166.54,169.90,5534101,0
Сбербанк,08/03/17,00:00,170.00,170.98,169.17,170.00,5631876,0
Сбербанк,08/04/17,00:00,169.49,170.00,168.60,169.73,2720400,0
Сбербанк,08/07/17,00:00,170.47,172.95,170.38,172.79,3553361,0
Сбербанк,08/08/17,00:00,173.00,175.88,172.66,175.75,5052965,0
Сбербанк,08/09/17,00:00,174.80,175.20,172.80,173.40,4902123,0
Сбербанк,08/10/17,00:00,173.75,174.16,172.01,172.20,3002050,0
Сбербанк,08/11/17,00:00,171.26,172.49,168.64,172.05,6081239,0
Сбербанк,08/14/17,00:00,173.00,173.77,171.37,172.51,3090207,0
Сбербанк,08/15/17,00:00,172.31,172.72,170.46,172.33,3038489,0
Сбербанк,08/16/17,00:00,172.95,175.30,172.83,173.05,4183757,0
Сбербанк,08/17/17,00:00,172.50,173.99,172.27,172.72,2605231,0
Сбербанк,08/18/17,00:00,171.71,171.71,168.13,169.50,5237910,0
Сбербанк,08/21/17,00:00,169.77,170.69,168.50,169.90,3673173,0
Сбербанк,08/22/17,00:00,171.20,171.70,169.70,171.00,3785862,0
Сбербанк,08/23/17,00:00,171.00,175.30,170.98,175.30,5546719,0
Сбербанк,08/24/17,00:00,175.50,179.94,175.30,179.80,7859021,0
Сбербанк,08/25/17,00:00,180.85,182.25,179.60,180.51,6878662,0
Сбербанк,08/28/17,00:00,180.60,181.85,179.20,181.85,2796096,0
Сбербанк,08/29/17,00:00,182.00,182.00,179.51,181.89,4613068,0
Сбербанк,08/30/17,00:00,182.50,184.48,180.85,183.50,4854897,0
Сбербанк,08/31/17,00:00,182.99,186.33,181.71,183.51,6426718,0
Сбербанк,09/01/17,00:00,183.85,185.33,182.02,183.66,3436010,0
Сбербанк,09/04/17,00:00,181.51,185.27,180.93,184.10,2571751,0
Сбербанк,09/05/17,00:00,184.39,185.59,183.33,184.14,3434218,0
Сбербанк,09/06/17,00:00,183.25,183.73,181.47,183.12,3351820,0
Сбербанк,09/07/17,00:00,183.47,185.25,183.32,184.00,4566856,0
Сбербанк,09/08/17,00:00,184.10,187.43,183.77,185.89,6069050,0
Сбербанк,09/11/17,00:00,186.70,191.30,186.51,190.50,6168228,0
Сбербанк,09/12/17,00:00,191.03,192.31,188.14,189.32,5053574,0
Сбербанк,09/13/17,00:00,189.32,190.95,188.40,189.10,4781194,0
Сбербанк,09/14/17,00:00,189.00,189.39,186.00,188.64,3805222,0
Сбербанк,09/15/17,00:00,188.73,189.30,186.72,188.75,4478437,0
Сбербанк,09/18/17,00:00,189.56,190.37,187.31,188.04,2958044,0
Сбербанк,09/19/17,00:00,187.68,187.72,184.55,184.85,4140117,0
Сбербанк,09/20/17,00:00,184.50,186.47,182.65,186.47,5003455,0
Сбербанк,09/21/17,00:00,186.40,188.37,183.80,187.38,4162135,0
Сбербанк,09/22/17,00:00,187.35,188.77,186.77,187.55,3730766,0
Сбербанк,09/25/17,00:00,187.37,191.38,186.37,191.20,6417707,0
Сбербанк,09/26/17,00:00,191.56,195.00,191.54,192.54,8208030,0
Сбербанк,09/27/17,00:00,192.94,194.29,191.20,193.70,5503094,0
Сбербанк,09/28/17,00:00,193.68,194.30,191.53,191.96,3911308,0
Сбербанк,09/29/17,00:00,192.00,192.94,190.80,192.33,2632557,0
Сбербанк,10/02/17,00:00,192.76,194.10,191.10,193.00,3595481,0
Сбербанк,10/03/17,00:00,193.28,193.87,192.13,192.50,2865749,0
Сбербанк,10/04/17,00:00,192.49,192.59,191.22,192.03,2653658,0
Сбербанк,10/05/17,00:00,192.00,193.93,189.06,193.74,4946655,0
Сбербанк,10/06/17,00:00,194.30,196.42,193.67,194.16,5239974,0
Сбербанк,10/09/17,00:00,194.20,194.90,192.58,194.00,2775666,0
Сбербанк,10/10/17,00:00,194.30,194.45,192.95,193.21,1783240,0
Сбербанк,10/11/17,00:00,193.95,196.75,193.56,195.83,5800200,0
Сбербанк,10/12/17,00:00,195.85,196.75,194.95,195.51,3496925,0
Сбербанк,10/13/17,00:00,195.62,197.29,195.20,196.48,3033891,0
Сбербанк,10/16/17,00:00,197.53,198.52,196.70,197.70,2697928,0
